ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计,Unnamed: 9
2013-01-08,6403720.0,97884283.0,13.886761338440765,14.778141289219057,13.746017135686298,14.496652883710123,0.609891545269358,1686.0,
2013-01-09,2325558.0,35758628.0,14.496652883710123,14.543567617961612,14.26207921245268,14.308993946704167,-0.1876589370059563,650.0,
2013-01-10,3700165.0,57923620.0,14.449738149458634,15.012714960476503,14.308993946704167,14.449738149458634,0.14074420275446722,1152.0,
2013-01-11,6297213.0,98189896.0,14.590482352213101,14.778141289219057,14.402823415207145,14.496652883710123,0.04691473425148907,1564.0,
2013-01-14,1508158.0,23013506.0,14.496652883710123,14.496652883710123,14.074420275446721,14.402823415207145,-0.09382946850297814,536.0,
2013-01-15,2799656.0,41347194.0,14.402823415207145,14.449738149458634,13.417613995925874,13.699102401434809,-0.7037210137723361,1006.0,
2013-01-16,1955647.0,28828307.0,13.699102401434809,14.121335009698212,13.417613995925874,13.886761338440765,0.1876589370059563,712.0,
2013-01-17,1454836.0,20949341.0,14.074420275446721,14.121335009698212,13.18304032466843,13.229955058919916,-0.656806279520847,598.0,
2013-01-18,1336877.0,19547527.0,13.746017135686298,13.839846604189276,13.605272932931829,13.605272932931829,0.3753178740119126,504.0,
2013-01-21,832658.0,12245723.0,13.699102401434809,13.933676072692254,13.652187667183322,13.699102401434809,0.09382946850297814,278.0,
2013-01-22,1300124.0,19248869.0,13.886761338440765,14.02750554119523,13.699102401434809,13.839846604189276,0.14074420275446722,417.0,
2013-01-23,4125336.0,63112019.0,13.980590806943743,14.590482352213101,13.980590806943743,14.449738149458634,0.609891545269358,1401.0,
2013-01-24,2009737.0,30831352.0,14.543567617961612,14.590482352213101,14.1682497439497,14.308993946704167,-0.14074420275446722,738.0,
2013-01-25,1546965.0,23121676.0,14.308993946704167,14.355908680955656,13.886761338440765,13.980590806943743,-0.3284031397604235,552.0,
2013-01-28,867996.0,12990136.0,14.02750554119523,14.121335009698212,13.933676072692254,14.074420275446721,0.09382946850297814,301.0,
